کسانی کین بهشت جاودانی	طلبکارند اندر زندگانی
درون جانی و تحقیق دریاب	ز جانان سوی جان توفیق دریاب
نه جان اندر رخ جانان نگاهی	کن آخر هان ز ماهت تا بماهی
همه از تست و تو از جان پدیدار	ترا شد جان در اینجاگه خریدار
خریدارست جانت نیز هم دل	که تو بودی حقیقت راز مشکل
همه از تست پیدا و نهانی	یقین کاینجا حیات جاودانی
حقیقت زندگی اندر دم تست	که ریش قلبها را مرهم از تست
حقیقت زندگی در دل تو داری	که بود جاودان حاصل تو داری
حقیقت زندگی جمله شی آی	همه دانم که کل از نفخ حی آی
حقیقت نور حیّ لایموتی	که در جانها حقیقت هم تو قوتی
غذای روحی و معنیّ جُمله	در این جامی و هم فتوی جُمله
عیانی لیک پنهانی ز دیده	کسی رنگ تو در اینجا ندیده
نداری رنگ آمیزی در اینجا	دمادم فیض میریزی در اینجا
ز نور فیض تو عالم پر از نور	شد و اندر جهان گشتی تو مشهور
ترا خوانند جان چون در نهانی	ولی از جان یقین عین العیانی
ترا خوانند جان مر اهل معنی	که هر دم مینمائی راز مولی
ترا خوانند جان اینجا حکیمان	کجا دانندت اینجاگه لئیمان
بنورتست اشیا در حقیقت	که بیرون و درونی در طبیعت
ز بالا در درون نفخه دمیدی	درون جان تو در گفت و شنیدی
ابا تو دارم اینجا رازها من	که دیدم ازتو سر آوازها من
تونطقی درهمه گویا شدستی	درون اندر همه جویا شدستی
تو نطقی در زبان و راز گوئی	تو بشنیدی ز جانان بازگوئی
تو نطقی در زبان و عین گفتار	حقیقت رازها آری پدیدار
بگرد خاک میگردی تو دائم	بتو پیداست خاک و گشته قائم
بگرد خاک میگردی ز اسرار	ولی از چشم گشته ناپدیدار
بگرد خاک میگردی همی تو	درونش میدمی هر دم دمی تو
چنانت یافتم در خاک بیچون	که اوّل آمدی در هفت گردون
ز سوی ذات در عین صفاتی	حقیقت این زمان دیدار ذاتی
مگردان رخ ز خاک و روح اعیان	که میدانم ترا اسرار پنهان
زلائی این زمان در عین الّا	حقیقت اسم دیده در مسّما
مسمّائی ولیکن جسم بوده	از اوّل بیشکی بی اسم بوده
همه اسم از تو موجود و تو بیجان	همه پیدای تو هستی تو در جهان
از آن دم چونکه یارت این دم آورد	از این دم آمدی ز اعیان خود فرد
ترا برتر ز آتش بینم اینجا	از آنت سخت من خوش بینم اینجا
که از بالا دمادم میدمی باز	حقیقت اندر اینجاگه باعزاز
دلا مر باد را بشناس در خود	مکن او رادمی مر دور از خود
از آن دم تو او را اندر اینجا	کز آن دم کرد جان تو مصفّا
از آن دم دان تو اینجا اصل بودش	همین جاگه بدان مر وصل بودش
فنا شو همچو باد از آن دم ای دوست	که این دم نفخه است و همدم اوست
ز اصل هر چهار اینجا عیانی	بگفتی سرّ کل را تو نهانی
ز اصل این چهار آگاه گشتی	بدین سیر دگر زینها گذشتی
یقین هم وصل آب اینجا بیان کن	نمود راز او سرّ عیان کن
حقیقت آب را عین العیان بین	از او مرجمله اسرار نهان بین
اگرچه هر چهار از اصل یارند	در این مسکن بجانان پایدارند
از آنجا آمده هر چار اینجا	ز بهر دلبر عیّار اینجا
ولی زابست اینجاگه جمالش	که اعیان آمد از نور جلالش
از آن حضرت بد اینجا بی بهانه	در آمد گشت اینجاگه روانه
از آن دریای بیچون آمدست او	در این درگاه در کلّی نشست او
حقیقت آب اینجا زندگانی است	در او بسیار اسرار معانی است
فتاده در ره جان او خوش و تر	حقیقت میرود هر لحظه خوشتر
خوش و تر میرود چون باد در جان	کند دل را و جسم آباد در جان
خوش و تر میرود درکوی معشوق	بامید وصال روی معشوق
خوش و تر میرود در شی روانه	که تا بخشدت حیات جاودانه
خوش و تر میرود در جمله پیدا	حقیقت میکند هر لحظه غوغا
خوش و تر میرود در کوی دلدار	شود هر نقش از او اینجا پدیدار
درون باغ و بستان شادمانه	شود در سوی صحراها روانه
درون باغ و بستان خرّم و کش	رود در باد و خاک و عین آتش
کند ره در سوی هر سه بتحقیق	یکی گردد وی اندر عزّ و توفیق
گهی بر صورت گندم برآید	گهی در صورت او جو نماید
گهی بر صورت و عین حشایش	کند او در بهار اینجا گشایش
گهی بر صورت انگور باشد	درون میوهها پرنور باشد
گهی جان بخشد اندر عین بستان	که شیر شوق آرد سوی بستان
ز جان کن فهم تا این سر بدانی	که در آبست اسرار معانی
پس آنگه از بهار میوه الوان	شود مر نطفه در انسان وحیوان
شود مر نطفه و بنماید اسرار	ز حیوان میکند انسان پدیدار
از آن هر سه وزین یک چون چهارست	حقیقت دید مولی آشکاراست
نظر کن نطفه را در اصل آغاز	که آبی بود وز آبست این باز
حقیقت بود او چون گشت نطفه	که تا پیدا کند همچون تو تحفه
ترا چون اصل از آب منی است	از آنت این همه کبر و منی است
کجا یک نطفه با دریا برآید	کجا یک ذرّه با الاّ برآید
حقیقت همچو آبی و تو در آب	نظر کن تا ببینی تابش و تاب
نظر کن آب را نورِ حقیقت	که انسان داد منشور طبیعت
همه آبست اگر تو باز بینی	نظر کن سوی او تا راز بینی
همه آبست و آب آید جمالش	که اینجا مینماید هر کمالش
همه آبست وز آبیم زنده	چنین آمد بنزد جان بنده
همه آبست و آب از جوهر ذات	شتابان میرود در جان ذرّات
همه آبست و آب از جوهر کل	روانه درتو است و تو یقین کل
همه آبست او و در شیب و بالا	حقیقت راه دارد سوی الّا
ز شیب هر شجر بالا شود او	حقیقت در سوی الّا شود او
نمیبینی و آن را تا نخوانی	از آن ماء طهور اینجا ندانی
خوشی از آن اینجا زنده باشد	مر او را جمله ذرّه بنده باشد
نمیخوانی از آنش ره ندانی	که سرّ آب در خود باز دانی
